epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,6.260439395904541,
0,99,,3.1514439582824707,
0,149,,3.411372423171997,
0,199,,1.9410325288772583,
0,249,,1.760703206062317,
0,299,,1.4819022417068481,
0,349,,1.5953489542007446,
0,399,,1.3256011009216309,
0,449,,1.130172848701477,
0,468,,,1.0091640949249268
0,468,2.749471664428711,,
1,499,,1.1701339483261108,
1,549,,1.0647163391113281,
1,599,,0.9694098234176636,
1,649,,1.0328648090362549,
1,699,,0.9247943758964539,
1,749,,0.8839752674102783,
1,799,,0.8116463422775269,
1,849,,0.8188480138778687,
1,899,,0.7713921070098877,
1,937,,,0.5728309750556946
1,937,0.9445261359214783,,
2,949,,0.7237956523895264,
2,999,,0.7479684948921204,
2,1049,,0.7568421363830566,
2,1099,,0.7205871939659119,
2,1149,,0.6924983263015747,
2,1199,,0.6729826331138611,
2,1249,,0.633846640586853,
2,1299,,0.5988271832466125,
2,1349,,0.6083782315254211,
2,1399,,0.6507992744445801,
2,1406,,,0.40391281247138977
2,1406,0.6796380877494812,,
3,1449,,0.5720769762992859,
3,1499,,0.5566330552101135,
3,1549,,0.5156698226928711,
3,1599,,0.5323218107223511,
3,1649,,0.5347306132316589,
3,1699,,0.5032610297203064,
3,1749,,0.5017049908638,
3,1799,,0.46970289945602417,
3,1849,,0.4942165017127991,
3,1875,,,0.2999797761440277
3,1875,0.5233713388442993,,
4,1899,,0.44691386818885803,
4,1949,,0.42100244760513306,
4,1999,,0.41733458638191223,
4,2049,,0.41982969641685486,
4,2099,,0.438437283039093,
4,2149,,0.40065088868141174,
4,2199,,0.3886939287185669,
4,2249,,0.41609323024749756,
4,2299,,0.4009394347667694,
4,2344,,,0.2916059195995331
4,2344,0.4233996868133545,,
5,2349,,0.3794349431991577,
5,2399,,0.39733612537384033,
5,2449,,0.42141956090927124,
5,2499,,0.36449071764945984,
5,2549,,0.3701806962490082,
5,2599,,0.3654865324497223,
5,2649,,0.35562533140182495,
5,2699,,0.331380158662796,
5,2749,,0.31312939524650574,
5,2799,,0.3198884427547455,
5,2813,,,0.21546390652656555
5,2813,0.35722479224205017,,
6,2849,,0.34834912419319153,
6,2899,,0.3152923285961151,
6,2949,,0.31828150153160095,
6,2999,,0.3101311922073364,
6,3049,,0.31516069173812866,
6,3099,,0.2990793287754059,
6,3149,,0.29721370339393616,
6,3199,,0.289531409740448,
6,3249,,0.27474546432495117,
6,3282,,,0.1659085601568222
6,3282,0.3110285997390747,,
7,3299,,0.3038064241409302,
7,3349,,0.2693554162979126,
7,3399,,0.2694280445575714,
7,3449,,0.2845971882343292,
7,3499,,0.29555627703666687,
7,3549,,0.28890565037727356,
7,3599,,0.2500975728034973,
7,3649,,0.25408294796943665,
7,3699,,0.2479226440191269,
7,3749,,0.25517141819000244,
7,3751,,,0.1608060896396637
7,3751,0.2710399329662323,,
8,3799,,0.2640860378742218,
8,3849,,0.25016939640045166,
8,3899,,0.2407538741827011,
8,3949,,0.23848457634449005,
8,3999,,0.23875854909420013,
8,4049,,0.22845695912837982,
8,4099,,0.2368776798248291,
8,4149,,0.23703821003437042,
8,4199,,0.21955250203609467,
8,4220,,,0.11142405867576599
8,4220,0.24087636172771454,,
9,4249,,0.22099167108535767,
9,4299,,0.20880070328712463,
9,4349,,0.21106745302677155,
9,4399,,0.23806941509246826,
9,4449,,0.20846085250377655,
9,4499,,0.20518213510513306,
9,4549,,0.20888344943523407,
9,4599,,0.19762566685676575,
9,4649,,0.21159899234771729,
9,4689,,,0.09330282360315323
9,4689,0.2149629294872284,,
10,4699,,0.20494559407234192,
10,4749,,0.20808224380016327,
10,4799,,0.18610097467899323,
10,4849,,0.19239675998687744,
10,4899,,0.18637029826641083,
10,4949,,0.19016866385936737,
10,4999,,0.19840864837169647,
10,5049,,0.17765049636363983,
10,5099,,0.17949411273002625,
10,5149,,0.18929648399353027,
10,5158,,,0.08086084574460983
10,5158,0.19229739904403687,,
11,5199,,0.1807890683412552,
11,5249,,0.18262271583080292,
11,5299,,0.18034008145332336,
11,5349,,0.1680486649274826,
11,5399,,0.17681501805782318,
11,5449,,0.16737179458141327,
11,5499,,0.18197934329509735,
11,5549,,0.1739078015089035,
11,5599,,0.17036835849285126,
11,5627,,,0.0735626295208931
11,5627,0.1760101020336151,,
12,5649,,0.17213666439056396,
12,5699,,0.17064030468463898,
12,5749,,0.15663789212703705,
12,5799,,0.16006268560886383,
12,5849,,0.17603513598442078,
12,5899,,0.15762875974178314,
12,5949,,0.16334250569343567,
12,5999,,0.16270487010478973,
12,6049,,0.16806535422801971,
12,6096,,,0.07036621123552322
12,6096,0.16105632483959198,,
13,6099,,0.15617725253105164,
13,6149,,0.15794241428375244,
13,6199,,0.15845626592636108,
13,6249,,0.15931831300258636,
13,6299,,0.14491909742355347,
13,6349,,0.15047651529312134,
13,6399,,0.1456710547208786,
13,6449,,0.14550887048244476,
13,6499,,0.143399178981781,
13,6549,,0.14243650436401367,
13,6565,,,0.058205705136060715
13,6565,0.14878223836421967,,
14,6599,,0.1459045112133026,
14,6649,,0.14034384489059448,
14,6699,,0.13544821739196777,
14,6749,,0.15289084613323212,
14,6799,,0.1414145529270172,
14,6849,,0.13015207648277283,
14,6899,,0.1375304013490677,
14,6949,,0.13697600364685059,
14,6999,,0.147432342171669,
14,7034,,,0.05222538113594055
14,7034,0.13809208571910858,,
15,7049,,0.13384900987148285,
15,7099,,0.13883720338344574,
15,7149,,0.13467636704444885,
15,7199,,0.1350933164358139,
15,7249,,0.12696368992328644,
15,7299,,0.12537522614002228,
15,7349,,0.13195645809173584,
15,7399,,0.1275298297405243,
15,7449,,0.13314828276634216,
15,7499,,0.11998248100280762,
15,7503,,,0.05230725184082985
15,7503,0.12876227498054504,,
16,7549,,0.12148046493530273,
16,7599,,0.12669676542282104,
16,7649,,0.1181236207485199,
16,7699,,0.12324517220258713,
16,7749,,0.12625646591186523,
16,7799,,0.12101701647043228,
16,7849,,0.120696522295475,
16,7899,,0.1365213692188263,
16,7949,,0.11651962995529175,
16,7972,,,0.0460042804479599
16,7972,0.12219729274511337,,
17,7999,,0.12508246302604675,
17,8049,,0.11759645491838455,
17,8099,,0.12078388780355453,
17,8149,,0.12179272621870041,
17,8199,,0.12629473209381104,
17,8249,,0.12035483121871948,
17,8299,,0.11101315915584564,
17,8349,,0.10880113393068314,
17,8399,,0.11704844236373901,
17,8441,,,0.0456189401447773
17,8441,0.11598414182662964,,
18,8449,,0.11488156020641327,
18,8499,,0.11196905374526978,
18,8549,,0.11580108851194382,
18,8599,,0.11363966763019562,
18,8649,,0.11160816252231598,
18,8699,,0.10692326724529266,
18,8749,,0.10446203500032425,
18,8799,,0.11916579306125641,
18,8849,,0.10713112354278564,
18,8899,,0.10178210586309433,
18,8910,,,0.03865296393632889
18,8910,0.1110578402876854,,
19,8949,,0.10344453155994415,
19,8999,,0.10364008694887161,
19,9049,,0.10504205524921417,
19,9099,,0.11131656169891357,
19,9149,,0.10484593361616135,
19,9199,,0.10323790460824966,
19,9249,,0.11117445677518845,
19,9299,,0.09952796250581741,
19,9349,,0.10375110805034637,
19,9379,,,0.042519357055425644
19,9379,0.10536948591470718,,
20,9399,,0.10033343732357025,
20,9449,,0.10494150966405869,
20,9499,,0.10254456847906113,
20,9549,,0.10331932455301285,
20,9599,,0.09799821674823761,
20,9649,,0.103254035115242,
20,9699,,0.10459134727716446,
20,9749,,0.09791480749845505,
20,9799,,0.09590158611536026,
20,9848,,,0.04394994676113129
20,9848,0.10115992277860641,,
21,9849,,0.09734885394573212,
21,9899,,0.09695252031087875,
21,9949,,0.09763002395629883,
21,9999,,0.0996188074350357,
21,10049,,0.0942302867770195,
21,10099,,0.096718430519104,
21,10149,,0.09737128019332886,
21,10199,,0.09774275869131088,
21,10249,,0.10248908400535583,
21,10299,,0.09712532162666321,
21,10317,,,0.03467530012130737
21,10317,0.09762315452098846,,
22,10349,,0.09790938347578049,
22,10399,,0.09588553011417389,
22,10449,,0.0906258150935173,
22,10499,,0.09642503410577774,
22,10549,,0.097219318151474,
22,10599,,0.09198645502328873,
22,10649,,0.0948866754770279,
22,10699,,0.08969897776842117,
22,10749,,0.09355450421571732,
22,10786,,,0.04146486520767212
22,10786,0.09363493323326111,,
23,10799,,0.09435412287712097,
23,10849,,0.09257518500089645,
23,10899,,0.08902440220117569,
23,10949,,0.10293610394001007,
23,10999,,0.09114807844161987,
23,11049,,0.08377333730459213,
23,11099,,0.09152081608772278,
23,11149,,0.08838441967964172,
23,11199,,0.08867748826742172,
23,11249,,0.09074009954929352,
23,11255,,,0.04180038720369339
23,11255,0.08973603695631027,,
24,11299,,0.08533365279436111,
24,11349,,0.09005502611398697,
24,11399,,0.08576680719852448,
24,11449,,0.08711781352758408,
24,11499,,0.08651431649923325,
24,11549,,0.08899440616369247,
24,11599,,0.08694794028997421,
24,11649,,0.0813831090927124,
24,11699,,0.08174864947795868,
24,11724,,,0.04412798210978508
24,11724,0.08705507218837738,,
25,11749,,0.08787338435649872,
25,11799,,0.09239377081394196,
25,11849,,0.0846068486571312,
25,11899,,0.08332152664661407,
25,11949,,0.08052847534418106,
25,11999,,0.08235874772071838,
25,12049,,0.07526998966932297,
25,12099,,0.08111975342035294,
25,12149,,0.08526071906089783,
25,12193,,,0.04865036532282829
25,12193,0.08335789293050766,,
26,12199,,0.07848062366247177,
26,12249,,0.07800520956516266,
26,12299,,0.08803234994411469,
26,12349,,0.08037418127059937,
26,12399,,0.08783139288425446,
26,12449,,0.08358306437730789,
26,12499,,0.07456180453300476,
26,12549,,0.08098117262125015,
26,12599,,0.07885973155498505,
26,12649,,0.07587897032499313,
26,12662,,,0.051769569516181946
26,12662,0.0802479013800621,,
27,12699,,0.07905790954828262,
27,12749,,0.07497331500053406,
27,12799,,0.07939016819000244,
27,12849,,0.07688504457473755,
27,12899,,0.07352932542562485,
27,12949,,0.07376012206077576,
27,12999,,0.07451671361923218,
27,13049,,0.07496020942926407,
27,13099,,0.07982504367828369,
27,13131,,,0.07343972474336624
27,13131,0.07680860161781311,,
28,13149,,0.08022548258304596,
28,13199,,0.07275378704071045,
28,13249,,0.07308466732501984,
28,13299,,0.07023826241493225,
28,13349,,0.07689997553825378,
28,13399,,0.07236544042825699,
28,13449,,0.06784936040639877,
28,13499,,0.0689799040555954,
28,13549,,0.07488247007131577,
28,13599,,0.07247136533260345,
28,13600,,,0.06423655152320862
28,13600,0.07307242602109909,,
29,13649,,0.06778693199157715,
29,13699,,0.07411034405231476,
29,13749,,0.0821201279759407,
29,13799,,0.07567016780376434,
29,13849,,0.06665843725204468,
29,13899,,0.06766363978385925,
29,13949,,0.06881333142518997,
29,13999,,0.06695277988910675,
29,14049,,0.06602288782596588,
29,14069,,,0.07596775889396667
29,14069,0.06968539208173752,,
30,14099,,0.06966985017061234,
30,14149,,0.074224092066288,
30,14199,,0.06302843242883682,
30,14249,,0.06540923565626144,
30,14299,,0.06573490798473358,
30,14349,,0.06544280052185059,
30,14399,,0.06681566685438156,
30,14449,,0.06329064816236496,
30,14499,,0.06762529164552689,
30,14538,,,0.07824014127254486
30,14538,0.06646448373794556,,
31,14549,,0.06299562007188797,
31,14599,,0.06382498145103455,
31,14649,,0.06112360581755638,
31,14699,,0.06902243196964264,
31,14749,,0.05928261950612068,
31,14799,,0.0637105405330658,
31,14849,,0.06282100081443787,
31,14899,,0.06277479231357574,
31,14949,,0.06430765241384506,
31,14999,,0.06582771241664886,
31,15007,,,0.08570104837417603
31,15007,0.06396577507257462,,
32,15049,,0.06154790148139,
32,15099,,0.061497218906879425,
32,15149,,0.0577656626701355,
32,15199,,0.05942254886031151,
32,15249,,0.06129627674818039,
32,15299,,0.058239247649908066,
32,15349,,0.060269735753536224,
32,15399,,0.0616496317088604,
32,15449,,0.06184962019324303,
32,15476,,,0.09460757672786713
32,15476,0.06138404458761215,,
33,15499,,0.05992859974503517,
33,15549,,0.06177067756652832,
33,15599,,0.05732271820306778,
33,15649,,0.05469754338264465,
33,15699,,0.06313271820545197,
33,15749,,0.06088981404900551,
33,15799,,0.05925680696964264,
33,15849,,0.0624164454638958,
33,15899,,0.060867778956890106,
33,15945,,,0.08532792329788208
33,15945,0.05965432524681091,,
34,15949,,0.05945990979671478,
34,15999,,0.05972294881939888,
34,16049,,0.06012826785445213,
34,16099,,0.05682209134101868,
34,16149,,0.05762771889567375,
34,16199,,0.058144886046648026,
34,16249,,0.061280131340026855,
34,16299,,0.055908456444740295,
34,16349,,0.05623520165681839,
34,16399,,0.05597422644495964,
34,16414,,,0.08306354284286499
34,16414,0.05735355615615845,,
35,16449,,0.05818955600261688,
35,16499,,0.05603489652276039,
35,16549,,0.0568288117647171,
35,16599,,0.056226298213005066,
35,16649,,0.05902070924639702,
35,16699,,0.05756393074989319,
35,16749,,0.054407984018325806,
35,16799,,0.05337842181324959,
35,16849,,0.05828341096639633,
35,16883,,,0.09414259344339371
35,16883,0.05598708242177963,,
36,16899,,0.0564863458275795,
36,16949,,0.05944639816880226,
36,16999,,0.05656040087342262,
36,17049,,0.05392301082611084,
36,17099,,0.053890131413936615,
36,17149,,0.0477176308631897,
36,17199,,0.05512666702270508,
36,17249,,0.05406814068555832,
36,17299,,0.05329097434878349,
36,17349,,0.05433228611946106,
36,17352,,,0.10476978868246078
36,17352,0.05431840568780899,,
37,17399,,0.055154670029878616,
37,17449,,0.05417994037270546,
37,17499,,0.05081097409129143,
37,17549,,0.052479811012744904,
37,17599,,0.04947713017463684,
37,17649,,0.051519524306058884,
37,17699,,0.05033400282263756,
37,17749,,0.051224905997514725,
37,17799,,0.051871638745069504,
37,17821,,,0.08847734332084656
37,17821,0.05298744887113571,,
38,17849,,0.05271920561790466,
38,17899,,0.051219645887613297,
38,17949,,0.05362647399306297,
38,17999,,0.05199733376502991,
38,18049,,0.049286358058452606,
38,18099,,0.04873731732368469,
38,18149,,0.05354384705424309,
38,18199,,0.04940105974674225,
38,18249,,0.05268885940313339,
38,18290,,,0.09509473294019699
38,18290,0.05177458003163338,,
39,18299,,0.04786007106304169,
39,18349,,0.05244417488574982,
39,18399,,0.049693770706653595,
39,18449,,0.04754657298326492,
39,18499,,0.051832959055900574,
39,18549,,0.052631065249443054,
39,18599,,0.05084307864308357,
39,18649,,0.05260653421282768,
39,18699,,0.05431131273508072,
39,18749,,0.04885118454694748,
39,18759,,,0.09798379987478256
39,18759,0.05055999755859375,,
40,18799,,0.049849189817905426,
40,18849,,0.05643093213438988,
40,18899,,0.0488116554915905,
40,18949,,0.047365739941596985,
40,18999,,0.05144444480538368,
40,19049,,0.050937797874212265,
40,19099,,0.05086183547973633,
40,19149,,0.048237770795822144,
40,19199,,0.05162396654486656,
40,19228,,,0.0931214839220047
40,19228,0.04956914111971855,,
41,19249,,0.05196787789463997,
41,19299,,0.05277657136321068,
41,19349,,0.05085114389657974,
41,19399,,0.04739340394735336,
41,19449,,0.0496138259768486,
41,19499,,0.049504831433296204,
41,19549,,0.05101046338677406,
41,19599,,0.04580964893102646,
41,19649,,0.04696440324187279,
41,19697,,,0.09731011092662811
41,19697,0.04867485165596008,,
42,19699,,0.04746994748711586,
42,19749,,0.04932183399796486,
42,19799,,0.042272310703992844,
42,19849,,0.049791861325502396,
42,19899,,0.047322314232587814,
42,19949,,0.048046473413705826,
42,19999,,0.049934662878513336,
42,20049,,0.04687486216425896,
42,20099,,0.048316653817892075,
42,20149,,0.04287545382976532,
42,20166,,,0.09586894512176514
42,20166,0.047695063054561615,,
43,20199,,0.048030100762844086,
43,20249,,0.04833798483014107,
43,20299,,0.04488629847764969,
43,20349,,0.04681195318698883,
43,20399,,0.04510464146733284,
43,20449,,0.04544984549283981,
43,20499,,0.046063002198934555,
43,20549,,0.044966693967580795,
43,20599,,0.04486007243394852,
43,20635,,,0.0946924015879631
43,20635,0.04672979190945625,,
44,20649,,0.0419306643307209,
44,20699,,0.04572880640625954,
44,20749,,0.044481728225946426,
44,20799,,0.045336656272411346,
44,20849,,0.04285302013158798,
44,20899,,0.04593861475586891,
44,20949,,0.04577665030956268,
44,20999,,0.043407976627349854,
44,21049,,0.04742109775543213,
44,21099,,0.04224763065576553,
44,21104,,,0.09450472891330719
44,21104,0.04580037668347359,,
45,21149,,0.045145753771066666,
45,21199,,0.04439960792660713,
45,21249,,0.05006936937570572,
45,21299,,0.04693428426980972,
45,21349,,0.048484642058610916,
45,21399,,0.049101147800683975,
45,21449,,0.0483151413500309,
